GEO,PARTNER,"PROPERTY 
CODE","PROPERTY
INFO / NOTES",VENDOR CODE,NAME,AREA,ADDRESS,ORDER #,BIKE BILLING,# OF BIKES,BIKE TYPE,"LOCK 
CODE",STORAGE LOCATION,BIKE START DATE,BIKE END DATE
289,Emileva Investments LLC,TP144,The Pointe 144,,The Pointe #142,W-Inlet,10711 E County Hwy 30A,52999,Paid,2,Pointe HB,0144,TP Hut.,3/27/2023,12/31/2023
290,Emileva Investments LLC,TP144,The Pointe 144,,The Pointe #144,W-Inlet,10711 E County Hwy 30A,30064,Paid,2,Pointe HB,0144,TP Hut.,1/1/2022,12/31/2022
291,XPLORIE,The Pointe on 30A 145,The Pointe 145,"House: 23 * 770179
Garage: 1288",The Pointe on 30A 145,W-Inlet,10711 E County Hwy 30A,51078,Monthly,4,Pointe HB,5145,TP Hut.,3/1/2023,7/3/2023
292,The Pointe on 30A,TP146,The Pointe 146,,The Pointe #146,W-Inlet,10711 E County Hwy 30A,54382,Monthly,2,Pointe HB,6146,TP Hut.,4/11/2023,4/1/2024
293,The Pointe on 30A,TP211,The Pointe 211,,The Pointe #211,W-Inlet,10711 E County Hwy 30A,54383,Monthly,2,Pointe HB,1211,TP Hut.,4/11/2023,4/1/2024
294,The Pointe on 30A,TP212,The Pointe 212,,The Pointe #212,W-Inlet,10711 E County Hwy 30A,54384,Monthly,2,Pointe HB,2212,TP Hut.,4/11/2023,4/1/2024
295,The Pointe on 30A,TP213,The Pointe 213,,The Pointe #213,W-Inlet,10711 E County Hwy 30A,54385,Monthly,2,Pointe HB,3213,TP Hut.,4/11/2023,4/1/2024
296,The Pointe on 30A,TP214,The Pointe 214,,The Pointe #214,W-Inlet,10711 E County Hwy 30A,54388,Monthly,2,Pointe HB,4214,TP Hut.,4/11/2023,8/1/2023
297,The Pointe on 30A,TP215,The Pointe 215,,The Pointe #215,W-Inlet,10711 E County Hwy 30A,54389,Monthly,2,Pointe HB,5215,TP Hut.,4/11/2023,4/1/2024
298,The Pointe on 30A,TP221,The Pointe 221,,The Pointe #221,W-Inlet,10711 E County Hwy 30A,54390,Monthly,2,Pointe HB,1221,TP Hut.,4/11/2023,4/1/2024
299,The Pointe on 30A,TP222,The Pointe 222,,The Pointe #222,W-Inlet,10711 E County Hwy 30A,54392,Monthly,2,Pointe HB,7222,TP Hut.,4/11/2023,4/1/2024
300,The Pointe on 30A,TP223,The Pointe 223,,The Pointe #223,W-Inlet,10711 E County Hwy 30A,54394,Monthly,2,Pointe HB,3223,TP Hut.,4/11/2023,4/1/2024
301,The Pointe on 30A,TP224,The Pointe 224,,The Pointe #224,W-Inlet,10711 E County Hwy 30A,54395,Monthly,2,Pointe HB,4224,TP Hut.,4/11/2023,4/1/2024
302,The Pointe on 30A,TP225,The Pointe 225,,The Pointe #225,W-Inlet,10711 E County Hwy 30A,54396,Monthly,2,Pointe HB,5225,TP Hut.,4/11/2023,4/1/2024
303,The Pointe on 30A,TP226,The Pointe 226,,The Pointe #226,W-Inlet,10711 E County Hwy 30A,64021,Monthly,2,Pointe HB,6226,TP Hut.,4/11/2023,4/1/2024
304,The Pointe on 30A,TP231,The Pointe 231,,The Pointe #231,W-Inlet,10711 E County Hwy 30A,54398,Monthly,2,Pointe HB,1231,TP Hut.,4/11/2023,4/1/2024
305,The Pointe on 30A,TP232,The Pointe 232,,The Pointe #232,W-Inlet,10711 E County Hwy 30A,54399,Monthly,2,Pointe HB,2232,TP Hut.,4/11/2023,4/1/2024
306,The Pointe on 30A,TP233,The Pointe 233,,The Pointe #233,W-Inlet,10711 E County Hwy 30A,54449,Monthly,2,Pointe HB,3233,TP Hut.,4/11/2023,8/1/2023
307,The Pointe on 30A,TP234,The Pointe 234,,The Pointe #234,W-Inlet,10711 E County Hwy 30A,54400,Monthly,2,Pointe HB,4234,TP Hut.,4/11/2023,4/1/2024
308,The Pointe on 30A,TP235,The Pointe 235,,The Pointe #235,W-Inlet,10711 E County Hwy 30A,54401,Monthly,2,Pointe HB,5235,TP Hut.,4/11/2023,4/1/2024
309,The Pointe on 30A,TP236,The Pointe 236,,The Pointe #236,W-Inlet,10711 E County Hwy 30A,54402,Monthly,2,Pointe HB,6236,TP Hut.,4/11/2023,4/1/2024
310,The Pointe on 30A,TP241,The Pointe 241,,The Pointe #241,W-Inlet,10711 E County Hwy 30A,54404,Monthly,2,Pointe HB,1241,TP Hut.,4/11/2023,4/1/2024
311,The Pointe on 30A,TP242,The Pointe 242,,The Pointe #242,W-Inlet,10711 E County Hwy 30A,54405,Monthly,2,Pointe HB,2242,TP Hut.,4/11/2023,4/1/2024
312,The Pointe on 30A,TP243,The Pointe 243,,The Pointe #243,W-Inlet,10711 E County Hwy 30A,54406,Monthly,2,Pointe HB,3243,TP Hut.,4/11/2023,4/1/2024
313,The Pointe on 30A,TP244,The Pointe 244,,The Pointe #244,W-Inlet,10711 E County Hwy 30A,54407,Monthly,2,Pointe HB,4244,TP Hut.,4/11/2023,4/1/2024
314,The Pointe on 30A,TP245,The Pointe 245,,The Pointe #245,W-Inlet,10711 E County Hwy 30A,54408,Monthly,2,Pointe HB,5245,TP Hut.,4/11/2023,4/1/2024
315,The Pointe on 30A,TP246,The Pointe 246,,The Pointe #246,W-Inlet,10711 E County Hwy 30A,54409,Monthly,2,Pointe HB,6246,TP Hut.,4/11/2023,4/1/2024
316,The Pointe on 30A,TP311,The Pointe 311,,The Pointe #311,W-Inlet,10711 E County Hwy 30A,64019,Monthly,2,Pointe HB,1311,TP Hut.,4/11/2023,4/1/2024
317,XPLORIE,The Pointe on 30A 312,The Pointe 312,"House: 23 * 770179
Garage: 1288",The Pointe on 30A 312,W-Inlet,10711 E County Hwy 30A,51080,Monthly,4,Pointe HB,2312,TP Hut.,3/1/2023,7/3/2023
318,XPLORIE,Pointe on 30A 313,The Pointe 313,"House: 23 * 770179
Garage: 1288",The Pointe on 30A 313,W-Inlet,10711 E County Hwy 30A,50989,Monthly,4,Pointe HB,3313,TP Hut.,3/1/2023,7/3/2023
319,Pelican Realty and Rentals,TP322,The Pointe 322,,The Pointe #322,W-Inlet,10711 E County Hwy 30A,59955,Paid,2,Pointe HB,0322,TP Hut.,7/10/2023,12/31/2023
320,Exclusive,PT324,The Pointe 324,,The Pointe #324,W-Inlet,10711 E County Hwy 30A,50888,Monthly,2,Pointe HB,0324,TP Hut.,1/1/2022,12/31/2023
321,The Pointe on 30A,TP326,The Pointe 326,,The Pointe #326,W-Inlet,10711 E County Hwy 30A,54443,Monthly,2,Pointe HB,6326,TP Hut.,4/11/2023,4/1/2024
322,Exclusive,PT332,The Pointe 332,,The Pointe #332,W-Inlet,10711 E County Hwy 30A,51409,Monthly,2,Pointe HB,0332,TP Hut.,1/1/2022,12/31/2023
323,VRBO - Kirsten McAndrew,TP334,The Pointe 334,,The Pointe #334,W-Inlet,10711 E County Hwy 30A,52919,Paid,2,Pointe HB,0334,TP Hut.,1/1/2023,12/31/2023
324,The Pointe on 30A,TP341,The Pointe 341,,The Pointe #341,W-Inlet,10711 E County Hwy 30A,54448,Monthly,2,Pointe HB,1341,TP Hut.,4/11/2023,4/1/2024
325,The Pointe on 30A,TP342,The Pointe 342,,The Pointe #342,W-Inlet,10711 E County Hwy 30A,54450,Monthly,2,Pointe HB,3342,TP Hut.,4/11/2023,4/1/2024
326,Exclusive,TP343,The Pointe 343,,The Pointe #343,W-Inlet,10711 E County Hwy 30A,29931,Monthly,2,Pointe HB,0343,TP Hut.,1/1/2022,12/31/2023
327,Paradise Properties,The Pointe 344,The Pointe 344,,The Pointe #344,W-Inlet,10711 E County Hwy 30A,58508,Monthly,2,Generic New Wave,3440,TP Hut.,6/4/2023,12/31/2023
328,The Pointe on 30A,TP346,The Pointe 346,,The Pointe #346,W-Inlet,10711 E County Hwy 30A,54451,Monthly,2,Pointe HB,6346,TP Hut.,4/11/2023,4/1/2024
329,Sandpiper,CASA,,,La Casa Esmeralda,W-Inlet,36 Walton Magnolia Lane,2315,Paid,2,2022 Vacayzen TAXI,0036,,10/24/2020,12/31/2022
330,Scenic Stays 30A LLC,104SAND,,,104 Sandpine Loop,W-Inlet,104 Sandpine Loop,2304,Paid,4,2022 Vacayzen TAXI,0104,,10/14/2020,9/26/2022
331,"Oversee Rentals, LLC",2CTLA2,,,Shoreline 9 Unit 5,W-Inlet,228 Walton Magnolia Lane #5,1736,Monthly,2,Oversee YOLO,0005,,5/8/2020,6/25/2023
332,"Oversee Rentals, LLC",2CSBE1,,,Tucked-Away,W-Inlet,228 Walton Magnolia Lane #6,48803,Monthly,2,Oversee YOLO,0006,,11/9/2022,6/25/2023
333,Callista Vacation Rentals,IB40WMA1,,112 * 697410,Magnolia Alpha,W-Inlet,40 Walton Magnolia Lane #A1,49148,Monthly,2,Vacayzen New Wave,0001,,12/31/2022,
336,Sandpiper,EMERALD,Garage: 3478,,Emerald Breeze,W-Inlet,64 S Emerald Cove Lane,6082,Paid,4,2022 Vacayzen TAXI,0064,Inside Garage.,12/1/2020,12/31/2022
337,XPLORIE,30A BH 33 Sunset,,"House: 23 * 770179
Garage: 1288",33 Sunset,W-Inlet,33 Valdare Way,50813,Monthly,4,2022 Vacayzen TAXI,0033,In garage.,3/1/2023,
338,"Oversee Rentals, LLC",2CMKK1,,,Beach House at the Ivy,W-Inlet,190 Valdare Lane,56847,Monthly,3,Oversee YOLO,0190,,5/18/2023,6/25/2023
339,Paradise Properties,The Way Of Water,,,The Way Of Water,W-Inlet,198 Valdare Lane,58522,Monthly,2,Generic New Wave,1980,,6/4/2023,
340,Paradise Properties,Belle La Mer,,,Belle La Mer,W-Inlet,236 W Park Place,58524,Monthly,4,Generic New Wave,,,6/4/2023,
341,Rosemary Cottages,The Love Shack,,,The Love Shack,W-Inlet,457 W Park Place,N/A,Paid,2,Generic TAXI,1502,,6/30/2020,12/31/2021
342,Royal,492PARK,,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Paradise on Park,W-Inlet,492 W Park Place,31356,Monthly,4,Royal TAXI,0492,,3/8/2022,
343,30A Luxury,IN-GOOD1,,,Good Day Getaway,W-Inlet,32 E Park Place #601,14893,Monthly,4,30A Lux TAXI,0601,Outside of garage.,5/21/2021,
344,Scenic Stays 30A LLC,32PP,,,Beach Therapy,W-Inlet,32 E Park Place #502,3091,Monthly,4,2022 Vacayzen TAXI,0502,,12/20/2020,7/19/2023
345,Royal,VSEA,Lockbox is located on the East side of the house on the garage: 1534,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Vitamin Sea,W-Inlet,32 E Park Place #102,2082,Monthly,4,Royal TAXI,0102,Inside Garage that can be accessed through home. ,1/18/2020,
346,Harmony Beach Vacations,62grand,,,The Grande Escape ,W-Inlet,62 Grande Pointe Circle ,54867,Paid,4,Generic TAXI,0062,,4/20/2023,6/23/2023
347,XPLORIE,30A BH Harlie's House,,"House: 23 * 770179
Garage: 1288",Harlie’s House,W-Inlet,268 Grande Pointe Circle ,53881,Monthly,4,2022 Vacayzen TAXI,0268,In garage.,4/11/2023,
348,Scenic Stays 30A LLC,318GPC,,,318 Grande Pointe Circle,W-Inlet,318 Grande Pointe Circle,50184,Monthly,3,2022 Vacayzen TAXI,0318,,2/11/2023,
349,Scenic Stays 30A LLC,382GPC,,,382 Grande Pointe Circle,W-Inlet,382 Grande Pointe Circle,29920,Monthly,4,2022 Vacayzen TAXI,0382,,2/10/2022,
350,XPLORIE,30A BH Whatcha Dune,,"House: 23 * 770179
Garage: 1288",382 Grande Pointe Circle,W-Inlet,12 Inlet Cove,50943,Monthly,4,2022 Vacayzen TAXI,0012,In garage.,3/1/2023,
351,Scenic Stays 30A LLC,TT,,,Turtle Time,W-Inlet,74 Pompano Street,2169,Monthly,4,2022 Vacayzen TAXI,0074,,11/12/2018,2/11/2023
352,"360 Blue, LLC",IB93ECL,,40 * 437174,Emerald Cove Charlie,W-Inlet,93 S Emerald Cove Lane,35410,Monthly,5,Blue Tire 360 YOLO,0093,,4/29/2022,12/1/2022
353,"360 Blue, LLC",IB94ECL,"Garage: 3006
Old name: Emerald Cove Alpha",40 * 437174,The Salty Dog,W-Inlet,94 S Emerald Cove Lane,22576,Monthly,4,Blue Tire 360 YOLO,0094,In garage.,8/7/2021,
354,"360 Blue, LLC",IB70ECL,"Garage: 3326
Old name: Emerald Cove Beta",40 * 437174,,W-Inlet,70 S Emerald Cove Lane,27616,Monthly,5,Blue Tire 360 YOLO,0070,In garage.,10/29/2021,
355,"Dune Real Estate Company, LLC",70 EMERALD COVE,,,70 EMERALD COVE,W-Inlet,70 S Emerald Cove Lane,N/A,Monthly,6,Generic TAXI,0070,,1/1/2018,5/9/2018
356,"Dune Real Estate Company, LLC",Slice of Paradise | 34 Mala Way (8br/7ba),,,Slice of Paradise,W-Inlet,34 Mala Way,27925,Monthly,8,Dune TAXI,0034,,11/19/2021,2/24/2023
357,"Dune Real Estate Company, LLC",Mala House | 38 Mala Way,,,Mala House,W-Inlet,38 Mala Way,30640,Monthly,5,Dune TAXI,0038,Lock to bike rack to the left of garage,2/25/2022,
358,Paradise Properties,Someday Came,,,Someday Came,W-Inlet,10 The Heron Cove,58439,Monthly,2,Generic New Wave,1000,,6/4/2023,
359,Paradise Properties,Sandy Bottoms,,,Sandy Bottoms,W-Inlet,14 The Heron Cove,59003,Monthly,4,Generic New Wave,7679,,6/10/2023,
360,Sandpiper,SANDY,,,Sandy Bottoms,W-Inlet,14 The Heron Cove,6072,Paid,4,2022 Vacayzen TAXI,0014,,12/1/2020,12/31/2022
367,"360 Blue, LLC",ZIB23PS,,40 * 437174,,W-Inlet,23 Pompano Street,52597,Monthly,5,Blue Tire 360 YOLO,0023,,3/20/2023,5/17/2023
368,"360 Blue, LLC",IB23PS,,40 * 437174,,W-Inlet,23 Pompano Street,22578,Monthly,5,Blue Tire 360 YOLO,0023,,8/7/2021,2/2/2023
369,30A Luxury,IN-POMP1,Garage code: 7656,,Pompano Dreams,W-Inlet,42 Pompano Street,49231,Monthly,6,30A LUX TAXI,0042,In garage.,12/15/2022,
371,30A Luxury,IN-SALT1,"Garage: 1982
Delivered racks as well.",,Saltaire Retreat,W-Inlet,156 Pompano Street,25021,Monthly,6,30A Lux TAXI,0156,In garage.,9/14/2021,8/21/2023
374,30A Luxury,IN-SALT2,Garage: 1980,,Saltaire Reunion,W-Inlet,158 Pompano Street,25022,Monthly,6,30A Lux TAXI,0158,In garage.,9/14/2021,8/21/2023
376,Royal,178POMP,Garage: 1782,"Kaba: 84 * 919957 
Lockbox: 1534 or 3841",Pomp in Paradise,W-Inlet,178 Pompano Street,6064,Monthly,6,Royal TAXI,0178,In garage.,3/1/2021,
377,Paradise Properties,Turtle Watch,,,Turtle Watch,W-Inlet,245 Pompano Street,58525,Monthly,8,Generic New Wave,2450,,6/4/2023,
379,Paradise Properties,Surfer Dog,,,Surfer Dog,W-Inlet,267 Pompano Street,58527,Monthly,8,Generic New Wave,2670,,6/4/2023,
381,"Dune Real Estate Company, LLC",Summer Villa | 274 Pompano Street,,,Summer Villa,W-Inlet,274 Pompano Street,64960,Monthly,7,Dune TAXI,0274,,8/24/2023,
382,Pampered Palm,278 Pompano St,,,The Shire,W-Inlet,278 Pompano Street,4741,Paid,4,Generic TAXI,0278,,2/27/2021,1/11/2022
383,Rosemary Cottages,Caddie's Shack,,,Caddie's Shack,W-Inlet,408 Pompano Street,N/A,Paid,4,Generic TAXI,1516,,10/27/2018,12/31/2021
384,"Dune Real Estate Company, LLC",Summer of 42 | 299 Pompano Street,Garage: 1960,,Summer of 42,W-Inlet,299 Pompano Street,29074,Monthly,6,Dune TAXI,0299,In garage.,2/28/2021,
385,"Dune Real Estate Company, LLC",Enchantment | 305 Pompano Street,Garage: 3590 ENTER,,Enchantment,W-Inlet,305 Pompano Street,46110,Monthly,5,Dune TAXI,0305,In garage.,8/23/2022,
387,Exclusive,IN300,Garage: 0909,,SEAcret to Life,W-Inlet,300 Pompano Street,29086,Monthly,5,Exclusive TAXI,0300,In garage.,3/1/2020,
388,Paradise Properties,Cool Breeze,,,Cool Breeze,W-Inlet,186 S Wall Street,58521,Monthly,2,Generic New Wave,1861,,6/4/2023,
389,"Dune Real Estate Company, LLC",260 S Wall Street,,,260 S. Wall St.,W-Inlet,260 S Wall Street,50075,Monthly,4,Dune TAXI,0260,,3/28/2023,
390,30A Luxury,IN-GILL3,,,Gilligan’s Island,W-Inlet,197 Walton Rose Lane,2192,Monthly,6,30A Lux TAXI,0197,,2/2/2020,
392,"360 Blue, LLC",IB212WR,"No access to garage.
Old name: Walton Rose Charlie",40 * 437174,Sandy Lane,W-Inlet,212 Walton Rose Lane,938,Monthly,7,Blue Tire 360 YOLO,0212,,9/1/2020,
393,"360 Blue, LLC",ZIB224WR,,40 * 437174,Walton Rose Beta,W-Inlet,224 Walton Rose Lane,1473,Monthly,7,Blue Tire 360 YOLO,0224,,8/18/2020,1/12/2023
